feature,corr_with_severity,corr_raw
alta_aceleracao_count_por_partida,0.18116537264648322,0.18116537264648322
partidas_jogadas,0.16506811804245566,-0.16506811804245566
aceleracao_explosiva_count_por_partida,0.15478087033618648,0.15478087033618648
aceleracao_maxima_ms2,0.1111252043513465,0.1111252043513465
height,0.10099304782344547,-0.10099304782344547
distancia_total_m_por_partida,0.08444128765367494,0.08444128765367494
aceleracao_media_positiva_ms2,0.07711696221705874,0.07711696221705874
age,0.06894246934063392,-0.06894246934063392
hsr_count,0.04204607141351497,-0.04204607141351497
hsr_count_por_partida,0.041443741519395914,-0.041443741519395914
distancia_total_m,0.03856205237623189,0.03856205237623189
alta_aceleracao_count,0.018225223363134604,0.018225223363134604
aceleracao_explosiva_count,0.008418469781480444,0.008418469781480444
sprint_count,,
sprint_count_por_partida,,
