nickname,age,height,partidas_jogadas,distancia_total_m,aceleracao_maxima_ms2,aceleracao_media_positiva_ms2,hsr_count,sprint_count,alta_aceleracao_count,aceleracao_explosiva_count,player_id,team_name,distancia_total_m_por_partida,hsr_count_por_partida,sprint_count_por_partida,alta_aceleracao_count_por_partida,aceleracao_explosiva_count_por_partida,cluster,player_key,Days Missed,total_days_3y,n_events_3y,severity_idx,injury_events,top_injury,_merge
Ronald,26,171.0,20,3678.07,23.65,2.46,0.0,0.0,5.15,6.6,16170,Cuiabá,183.9035,0.0,0.0,0.2575,0.3299999999999999,1,ronaldcuiaba,,,,,,,left_only
Walter,35,188.0,34,4682.87,21.1,1.42,0.0,0.0,1.47,2.29,18532,Cuiabá,137.73147058823528,0.0,0.0,0.043235294117647,0.0673529411764705,0,waltercuiaba,,,,,,,left_only
João Carlos,35,191.0,3,5698.78,20.27,1.79,0.0,0.0,2.0,1.0,18533,Cuiabá,1899.5933333333328,0.0,0.0,0.6666666666666666,0.3333333333333333,0,joaocarloscuiaba,,,,,,,left_only
Alan Empereur,29,186.0,32,9155.4,22.75,2.49,0.0,0.0,4.44,5.53,18535,Cuiabá,286.10625,0.0,0.0,0.13875,0.1728125,1,alanempereurcuiaba,175.0,0.0,0.0,0.0,7.0,,both
Marllon,31,186.0,35,9213.09,23.4,2.35,0.0,0.0,9.06,11.69,18536,Cuiabá,263.23114285714286,0.0,0.0,0.2588571428571429,0.3339999999999999,1,marlloncuiaba,,,,,,,left_only
Uendel,34,179.0,9,4227.58,23.68,2.68,0.0,0.0,2.44,4.89,18538,Cuiabá,469.7311111111111,0.0,0.0,0.2711111111111111,0.5433333333333333,1,uendelcuiaba,,,,,,,left_only
Patric Calmon,29,181.0,13,3785.38,21.72,2.65,0.0,0.0,1.85,3.08,18539,Cuiabá,291.1830769230769,0.0,0.0,0.1423076923076923,0.2369230769230769,1,patriccalmoncuiaba,,,,,,,left_only
Matheus Alexandre,24,188.0,34,9180.1,25.11,2.49,0.0,0.0,13.74,13.79,18540,Cuiabá,270.0029411764706,0.0,0.0,0.4041176470588235,0.4055882352941176,1,matheusalexandrecuiaba,46.0,0.0,0.0,0.0,3.0,,both
Raniele,26,184.0,34,8994.2,25.85,2.44,0.0,0.0,9.5,13.06,18541,Cuiabá,264.5352941176471,0.0,0.0,0.2794117647058823,0.3841176470588235,1,ranielecuiaba,,,,,,,left_only
Filipe Augusto,30,183.0,27,4861.46,24.25,2.46,0.0,0.0,5.33,6.26,18542,Cuiabá,180.05407407407407,0.0,0.0,0.1974074074074074,0.2318518518518518,1,filipeaugustocuiaba,,,,,,,left_only
Ricardo Cerqueira,20,184.0,1,1274.85,20.96,1.86,0.0,0.0,1.0,1.0,18543,Cuiabá,1274.85,0.0,0.0,1.0,1.0,0,ricardocerqueiracuiaba,,,,,,,left_only
Fernando Sobral,28,178.0,31,6423.85,24.48,2.57,0.0,0.0,5.65,7.68,18544,Cuiabá,207.22096774193548,0.0,0.0,0.182258064516129,0.2477419354838709,1,fernandosobralcuiaba,,,,,,,left_only
Rafael Gava,29,178.0,1,2752.67,22.83,2.48,0.0,0.0,2.0,10.0,18545,Cuiabá,2752.67,0.0,0.0,2.0,10.0,2,rafaelgavacuiaba,,,,,,,left_only
Pablo Ceppelini,31,179.0,20,5762.45,22.76,2.56,0.0,0.0,5.7,7.15,18546,Cuiabá,288.1225,0.0,0.0,0.285,0.3575,1,pabloceppelinicuiaba,,,,,,,left_only
Denilson,22,180.0,32,6561.3,24.49,2.44,0.0,0.0,7.09,8.88,18548,Cuiabá,205.040625,0.0,0.0,0.2215625,0.2775,1,denilsoncuiaba,,,,,,,left_only
Rikelme,20,184.0,30,8004.92,24.41,2.53,0.0,0.0,8.47,11.13,18550,Cuiabá,266.8306666666667,0.0,0.0,0.2823333333333334,0.371,1,rikelmecuiaba,,,,,,,left_only
Nicolás Quagliata,23,171.0,9,3518.03,22.73,2.49,0.0,0.0,4.89,5.89,18552,Cuiabá,390.89222222222224,0.0,0.0,0.5433333333333333,0.6544444444444444,1,nicolasquagliatacuiaba,,,,,,,left_only
Emerson Negueba,22,175.0,10,5100.94,21.52,2.68,0.0,0.0,5.4,4.7,18553,Cuiabá,510.094,0.0,0.0,0.54,0.47,1,emersonneguebacuiaba,,,,,,,left_only
Jonathan Cafú,32,175.0,31,5905.94,26.0,2.57,0.0,0.0,8.71,9.97,18555,Cuiabá,190.51419354838708,0.0,0.0,0.2809677419354839,0.3216129032258065,1,jonathancafucuiaba,,,,,,,left_only
Wellington Silva,30,170.0,28,5166.17,27.53,2.43,0.04,0.0,8.39,9.07,18556,Cuiabá,184.50607142857143,0.0014285714285714,0.0,0.2996428571428571,0.3239285714285714,1,wellingtonsilvacuiaba,,,,,,,left_only
Isidro Pitta,24,183.0,28,3441.83,22.83,2.54,0.0,0.0,3.71,4.18,18557,Cuiabá,122.9225,0.0,0.0,0.1325,0.1492857142857142,1,isidropittacuiaba,80.0,0.0,0.0,0.0,1.0,,both
Deyverson,32,187.0,35,8324.53,24.03,2.57,0.0,0.0,4.66,4.49,18558,Cuiabá,237.8437142857143,0.0,0.0,0.1331428571428571,0.1282857142857142,1,deyversoncuiaba,,,,,,,left_only
Iury Castilho,27,185.0,9,4425.7,23.03,2.49,0.0,0.0,1.22,0.89,18559,Cuiabá,491.7444444444444,0.0,0.0,0.1355555555555555,0.0988888888888888,1,iurycastilhocuiaba,,,,,,,left_only
Vitão,22,194.0,1,1594.75,20.28,2.05,0.0,0.0,0.0,0.0,18569,Cuiabá,1594.75,0.0,0.0,0.0,0.0,0,vitaocuiaba,22.0,0.0,0.0,0.0,1.0,,both
Matheusinho,24,175.0,5,9158.56,26.89,2.56,0.0,0.0,3.0,2.8,18570,Cuiabá,1831.712,0.0,0.0,0.6,0.5599999999999999,1,matheusinhocuiaba,,,,,,,left_only
Pablinho,20,180.0,2,2073.76,21.5,3.06,0.0,0.0,2.0,1.0,19542,Cuiabá,1036.88,0.0,0.0,1.0,0.5,1,pablinhocuiaba,,,,,,,left_only
Clayson,28,166.0,23,7621.24,25.99,2.58,0.0,0.0,9.22,10.39,19563,Cuiabá,331.3582608695652,0.0,0.0,0.4008695652173913,0.4517391304347826,1,claysoncuiaba,,,,,,,left_only
Derik Lacerda,24,191.0,19,4026.93,25.08,2.49,0.05,0.0,6.89,7.0,20671,Cuiabá,211.9436842105263,0.0026315789473684,0.0,0.3626315789473684,0.3684210526315789,1,deriklacerdacuiaba,223.0,0.0,0.0,0.0,8.0,,both
Eduard Atuesta,26,180.0,1,614.51,27.08,2.32,0.0,0.0,1.0,2.0,1285,Palmeiras,614.51,0.0,0.0,1.0,2.0,1,eduardatuestapalmeiras,,,,,,,left_only
Richard Rios,23,187.0,36,5885.25,24.8,2.23,0.0,0.0,8.61,11.14,3658,Palmeiras,163.47916666666666,0.0,0.0,0.2391666666666666,0.3094444444444444,1,richardriospalmeiras,6.0,0.0,0.0,0.0,1.0,,both
Bruno Tabata,26,175.0,5,3078.38,24.06,2.38,0.0,0.0,9.2,8.6,8084,Palmeiras,615.676,0.0,0.0,1.84,1.72,1,brunotabatapalmeiras,,,,,,,left_only
