nickname,age,height,partidas_jogadas,distancia_total_m,aceleracao_maxima_ms2,aceleracao_media_positiva_ms2,hsr_count,sprint_count,alta_aceleracao_count,aceleracao_explosiva_count,player_id,team_name,distancia_total_m_por_partida,hsr_count_por_partida,sprint_count_por_partida,alta_aceleracao_count_por_partida,aceleracao_explosiva_count_por_partida,cluster,player_key,Days Missed,total_days_3y,n_events_3y,severity_idx,injury_events,top_injury,_merge
Dalbert,30,181.0,9,5804.84,23.69,2.41,0.0,0.0,12.11,8.0,12951,Internacional,644.9822222222223,0.0,0.0,1.3455555555555554,0.8888888888888888,1,dalbertinternacional,,,,,,,left_only
Sergio Rochet,30,190.0,19,5258.04,21.45,1.58,0.0,0.0,2.0,1.58,13924,Internacional,276.73894736842107,0.0,0.0,0.1052631578947368,0.0831578947368421,0,sergiorochetinternacional,322.0,0.0,0.0,0.0,9.0,,both
Nicolás Hernández,25,185.0,23,6351.68,24.18,2.3,0.0,0.0,8.13,11.65,15784,Internacional,276.16,0.0,0.0,0.3534782608695652,0.5065217391304347,1,nicolashernandezinternacional,,,,,,,left_only
Keiller,26,193.0,10,4300.23,21.53,1.29,0.0,0.0,2.8,2.5,16242,Internacional,430.023,0.0,0.0,0.2799999999999999,0.25,0,keillerinternacional,,,,,,,left_only
Wanderson,28,175.0,32,8165.4,24.6,2.3,0.0,0.0,10.84,15.94,16243,Internacional,255.16875,0.0,0.0,0.33875,0.498125,1,wandersoninternacional,655.0,0.0,0.0,0.0,13.0,,both
Lucas Ramos,22,173.0,1,827.16,22.87,2.21,0.0,0.0,4.0,6.0,16244,Internacional,827.16,0.0,0.0,4.0,6.0,1,lucasramosinternacional,,,,,,,left_only
Fabricio Bustos,27,167.0,29,9369.91,26.12,2.34,0.0,0.0,14.55,18.03,16245,Internacional,323.1003448275862,0.0,0.0,0.5017241379310345,0.6217241379310345,1,fabriciobustosinternacional,70.0,120.0,6.0,120.0,6.0,Hamstring injury,both
Gabriel Mercado,36,181.0,26,8599.11,23.97,2.16,0.0,0.0,10.92,13.31,16248,Internacional,330.735,0.0,0.0,0.42,0.5119230769230769,1,gabrielmercadointernacional,587.0,0.0,0.0,0.0,15.0,,both
Estêvão,21,176.0,1,2124.09,22.89,2.18,0.0,0.0,4.0,4.0,16249,Internacional,2124.09,0.0,0.0,4.0,4.0,1,estevaointernacional,,,,,,,left_only
Maurício,22,174.0,26,7490.56,25.93,2.38,0.0,0.0,8.58,12.92,16250,Internacional,288.09846153846155,0.0,0.0,0.33,0.4969230769230769,1,mauriciointernacional,120.0,0.0,0.0,0.0,4.0,,both
Johnny Cardoso,21,186.0,22,8324.49,25.21,2.23,0.0,0.0,11.45,14.91,16251,Internacional,378.3859090909091,0.0,0.0,0.5204545454545454,0.6777272727272727,1,johnnycardosointernacional,,,,,,,left_only
John Victor,27,196.0,9,3877.38,21.07,1.11,0.0,0.0,2.11,2.0,16252,Internacional,430.82,0.0,0.0,0.2344444444444444,0.2222222222222222,0,johnvictorinternacional,,,,,,,left_only
Gabriel Baralhas,24,178.0,5,5520.77,22.77,2.3,0.0,0.0,8.4,8.6,16253,Internacional,1104.154,0.0,0.0,1.6800000000000002,1.72,1,gabrielbaralhasinternacional,,,,,,,left_only
Alexandre Alemão,25,182.0,9,4021.33,24.51,2.31,0.0,0.0,3.22,6.11,16254,Internacional,446.81444444444446,0.0,0.0,0.3577777777777778,0.6788888888888889,1,alexandrealemaointernacional,,,,,,,left_only
Thauan Lara,19,176.0,10,3823.3,22.14,2.6,0.0,0.0,5.4,5.3,16255,Internacional,382.33,0.0,0.0,0.54,0.53,1,thauanlarainternacional,,,,,,,left_only
Rodrigo Moledo,35,188.0,7,6721.53,22.98,2.53,0.0,0.0,3.43,5.71,16256,Internacional,960.2185714285714,0.0,0.0,0.49,0.8157142857142857,1,rodrigomoledointernacional,,,,,,,left_only
Matheus Dias,21,187.0,14,3406.22,22.59,2.37,0.0,0.0,2.93,2.86,16257,Internacional,243.30142857142852,0.0,0.0,0.2092857142857143,0.2042857142857142,1,matheusdiasinternacional,,,,,,,left_only
Lucca,20,180.0,19,3448.51,20.62,2.48,0.0,0.0,2.42,4.37,16258,Internacional,181.50052631578947,0.0,0.0,0.1273684210526315,0.23,1,luccainternacional,156.0,0.0,0.0,0.0,5.0,,both
Renê,30,174.0,28,8761.58,24.43,2.25,0.0,0.0,11.43,15.5,16259,Internacional,312.9135714285714,0.0,0.0,0.4082142857142857,0.5535714285714286,1,reneinternacional,,,,,,,left_only
Igor Gomes,22,185.0,24,6856.23,23.75,2.18,0.0,0.0,10.17,11.88,16706,Internacional,285.67625,0.0,0.0,0.42375,0.495,1,igorgomesinternacional,469.0,0.0,0.0,0.0,7.0,,both
Pedrao,33,181.0,26,5254.57,27.24,2.39,0.0,0.0,9.27,9.19,16712,Internacional,202.09884615384613,0.0,0.0,0.3565384615384615,0.3534615384615384,1,pedraointernacional,,,,,,,left_only
Gabriel,31,172.0,15,6389.06,25.78,2.21,0.0,0.0,8.93,11.13,16728,Internacional,425.93733333333336,0.0,0.0,0.5953333333333333,0.7420000000000001,1,gabrielinternacional,,,,,,,left_only
Jean Dias,32,170.0,10,3824.87,22.62,2.37,0.0,0.0,7.7,9.5,18597,Internacional,382.487,0.0,0.0,0.77,0.95,1,jeandiasinternacional,,,,,,,left_only
Rômulo,23,182.0,20,6502.15,24.0,2.42,0.0,0.0,5.0,5.3,18598,Internacional,325.1075,0.0,0.0,0.25,0.265,1,romulointernacional,,,,,,,left_only
Gabriel De Sousa Barros,21,182.0,5,4378.41,22.33,2.42,0.0,0.0,8.4,6.4,18742,Internacional,875.682,0.0,0.0,1.6800000000000002,1.28,1,gabrieldesousabarrosinternacional,,,,,,,left_only
Bruno Henrique,33,180.0,20,6301.03,27.11,2.1,0.0,0.0,11.05,14.1,20670,Internacional,315.0515,0.0,0.0,0.5525,0.705,1,brunohenriqueinternacional,,,,,,,left_only
João Dalla Corte,17,178.0,1,3008.1,22.55,2.17,0.0,0.0,4.0,7.0,24316,Internacional,3008.1,0.0,0.0,4.0,7.0,2,joaodallacorteinternacional,,,,,,,left_only
Fabián Balbuena,31,188.0,1,8584.51,22.97,2.24,0.0,0.0,12.0,14.0,258,Corinthians,8584.51,0.0,0.0,12.0,14.0,2,fabianbalbuenacorinthians,,,,,,,left_only
Ángel Romero,31,176.0,22,5885.66,26.74,2.33,0.0,0.0,12.18,11.68,7663,Corinthians,267.53,0.0,0.0,0.5536363636363636,0.5309090909090909,1,angelromerocorinthians,14.0,0.0,0.0,0.0,1.0,,both
Lucas Verissimo,28,188.0,15,8877.29,23.5,2.05,0.0,0.0,11.33,11.0,7994,Corinthians,591.8193333333334,0.0,0.0,0.7553333333333333,0.7333333333333333,1,lucasverissimocorinthians,,,,,,,left_only
Maycon,26,173.0,32,8881.35,24.27,2.11,0.0,0.0,9.53,14.31,9113,Corinthians,277.5421875,0.0,0.0,0.2978125,0.4471875,1,mayconcorinthians,651.0,0.0,0.0,0.0,6.0,,both
Júnior Moraes,36,176.0,1,581.81,16.34,2.44,0.0,0.0,0.0,0.0,9115,Corinthians,581.81,0.0,0.0,0.0,0.0,1,juniormoraescorinthians,,,,,,,left_only
Matías Rojas,27,180.0,15,4998.06,23.88,2.26,0.0,0.0,4.67,8.0,14399,Corinthians,333.204,0.0,0.0,0.3113333333333333,0.5333333333333333,1,matiasrojascorinthians,,,,,,,left_only
Róger Guedes,26,182.0,15,9529.49,24.59,2.22,0.0,0.0,12.4,17.13,16008,Corinthians,635.2993333333333,0.0,0.0,0.8266666666666667,1.142,1,rogerguedescorinthians,,,,,,,left_only
Cássio,36,195.0,37,4312.1,21.17,1.3,0.0,0.0,1.19,1.54,16009,Corinthians,116.54324324324324,0.0,0.0,0.0321621621621621,0.0416216216216216,0,cassiocorinthians,,,,,,,left_only
Caetano,24,182.0,16,7622.01,24.91,2.13,0.0,0.0,7.88,10.94,16010,Corinthians,476.375625,0.0,0.0,0.4925,0.68375,1,caetanocorinthians,,,,,,,left_only
Giovane,19,184.0,5,3336.05,23.26,2.22,0.0,0.0,5.2,7.8,16011,Corinthians,667.21,0.0,0.0,1.04,1.56,1,giovanecorinthians,,,,,,,left_only
Gustavo Mosquito,26,169.0,11,3383.27,23.46,2.32,0.0,0.0,7.36,7.55,16012,Corinthians,307.57,0.0,0.0,0.6690909090909091,0.6863636363636364,1,gustavomosquitocorinthians,,,,,,,left_only
Giuliano,33,172.0,30,6260.58,24.5,2.15,0.0,0.0,11.73,11.7,16014,Corinthians,208.686,0.0,0.0,0.391,0.3899999999999999,1,giulianocorinthians,,,,,,,left_only
Matheus Bidu,24,172.0,24,7587.27,23.31,2.29,0.0,0.0,14.0,16.62,16015,Corinthians,316.13625,0.0,0.0,0.5833333333333334,0.6925,1,matheusbiducorinthians,6.0,0.0,0.0,0.0,1.0,,both
Carlos Miguel,25,204.0,2,3420.01,18.13,1.62,0.0,0.0,0.5,0.5,16016,Corinthians,1710.005,0.0,0.0,0.25,0.25,0,carlosmiguelcorinthians,50.0,0.0,0.0,0.0,1.0,,both
Fagner,34,168.0,30,7577.23,23.48,2.24,0.0,0.0,11.3,12.97,16017,Corinthians,252.57433333333333,0.0,0.0,0.3766666666666667,0.4323333333333333,1,fagnercorinthians,,,,,,,left_only
Víctor Cantillo,29,180.0,6,5312.81,24.38,2.08,0.0,0.0,6.67,8.33,16018,Corinthians,885.4683333333334,0.0,0.0,1.1116666666666666,1.3883333333333334,1,victorcantillocorinthians,,,,,,,left_only
Bruno Méndez,23,180.0,27,6763.42,24.71,2.27,0.0,0.0,8.85,10.74,16019,Corinthians,250.49703703703705,0.0,0.0,0.3277777777777778,0.3977777777777778,1,brunomendezcorinthians,,,,,,,left_only
Adson,22,171.0,15,6359.22,23.23,2.3,0.0,0.0,8.8,11.13,16020,Corinthians,423.948,0.0,0.0,0.5866666666666667,0.7420000000000001,1,adsoncorinthians,,,,,,,left_only
Roni,24,174.0,15,5727.43,23.18,2.36,0.0,0.0,11.67,12.53,16021,Corinthians,381.82866666666666,0.0,0.0,0.778,0.8353333333333333,1,ronicorinthians,,,,,,,left_only
Du Queiroz,23,172.0,3,6366.55,20.35,2.29,0.0,0.0,7.33,12.0,16023,Corinthians,2122.1833333333334,0.0,0.0,2.4433333333333334,4.0,1,duqueirozcorinthians,,,,,,,left_only
Gil,36,192.0,32,8893.39,23.38,2.11,0.0,0.0,9.75,12.12,16024,Corinthians,277.9184375,0.0,0.0,0.3046875,0.37875,1,gilcorinthians,,,,,,,left_only
Fausto Vera,23,180.0,21,7868.44,23.19,2.16,0.0,0.0,9.9,13.14,16025,Corinthians,374.687619047619,0.0,0.0,0.4714285714285714,0.6257142857142858,1,faustoveracorinthians,7.0,0.0,0.0,0.0,1.0,,both
Fábio Santos,37,179.0,25,7228.89,23.66,2.36,0.0,0.0,8.72,10.96,16026,Corinthians,289.1556,0.0,0.0,0.3488,0.4384,1,fabiosantoscorinthians,,,,,,,left_only
Renato Augusto,35,186.0,24,6080.49,23.81,2.23,0.0,0.0,8.79,10.79,16027,Corinthians,253.35375,0.0,0.0,0.3662499999999999,0.4495833333333333,1,renatoaugustocorinthians,,,,,,,left_only
Yuri Alberto,22,183.0,34,8318.76,24.19,2.27,0.0,0.0,10.26,12.18,16028,Corinthians,244.6694117647059,0.0,0.0,0.3017647058823529,0.358235294117647,1,yurialbertocorinthians,83.0,0.0,0.0,0.0,4.0,,both
Paulinho,34,183.0,4,4617.32,23.2,2.29,0.0,0.0,6.0,10.0,16755,Corinthians,1154.33,0.0,0.0,1.5,2.5,1,paulinhocorinthians,,,,,,,left_only
Murillo,20,182.0,13,8875.45,24.03,2.14,0.0,0.0,9.46,11.77,18361,Corinthians,682.7269230769232,0.0,0.0,0.7276923076923077,0.9053846153846152,1,murillocorinthians,,,,,,,left_only
Chrystian Barletta,21,178.0,3,4744.09,21.51,2.44,0.0,0.0,10.0,6.67,18362,Corinthians,1581.3633333333337,0.0,0.0,3.333333333333333,2.223333333333333,1,chrystianbarlettacorinthians,,,,,,,left_only
Pedro,17,170.0,15,4563.17,24.17,2.41,0.0,0.0,10.53,10.27,18363,Corinthians,304.21133333333336,0.0,0.0,0.702,0.6846666666666666,1,pedrocorinthians,,,,,,,left_only
Matheus Araújo,21,176.0,16,4735.25,24.08,2.22,0.0,0.0,8.38,9.25,18619,Corinthians,295.953125,0.0,0.0,0.52375,0.578125,1,matheusaraujocorinthians,,,,,,,left_only
Felipe Augusto,19,187.0,15,2722.39,22.66,2.33,0.0,0.0,4.33,4.73,18718,Corinthians,181.49266666666665,0.0,0.0,0.2886666666666667,0.3153333333333333,1,felipeaugustocorinthians,,,,,,,left_only
Biro,19,171.0,11,5542.84,23.76,2.62,0.0,0.0,5.18,6.36,18796,Corinthians,503.8945454545455,0.0,0.0,0.4709090909090909,0.5781818181818182,1,birocorinthians,29.0,0.0,0.0,0.0,1.0,,both
Wesley,18,180.0,24,3997.3,24.25,2.45,0.0,0.0,9.79,7.0,18816,Corinthians,166.55416666666667,0.0,0.0,0.4079166666666666,0.2916666666666667,1,wesleycorinthians,,,,,,,left_only
Ruan Oliveira,23,176.0,19,5553.18,24.91,2.25,0.0,0.0,6.95,10.79,19306,Corinthians,292.27263157894737,0.0,0.0,0.3657894736842105,0.5678947368421052,1,ruanoliveiracorinthians,,,,,,,left_only
Gabriel Moscardo,17,185.0,18,7486.51,24.77,2.05,0.0,0.0,11.33,15.67,19468,Corinthians,415.9172222222222,0.0,0.0,0.6294444444444445,0.8705555555555555,1,gabrielmoscardocorinthians,,,,,,,left_only
Léo Mana,19,179.0,3,4851.84,22.96,2.37,0.0,0.0,9.33,8.67,19469,Corinthians,1617.28,0.0,0.0,3.11,2.89,1,leomanacorinthians,,,,,,,left_only
Júnior Urso,34,181.0,6,5627.41,23.14,2.29,0.0,0.0,7.5,10.83,1036,Coritiba,937.9016666666666,0.0,0.0,1.25,1.805,1,juniorursocoritiba,,,,,,,left_only
Islam Slimani,35,188.0,11,7472.37,23.02,2.52,0.0,0.0,7.45,8.82,1961,Coritiba,679.3063636363636,0.0,0.0,0.6772727272727272,0.8018181818181819,1,islamslimanicoritiba,,,,,,,left_only
Marcelino Moreno,28,175.0,31,8035.26,24.45,2.39,0.0,0.0,11.58,13.55,2353,Coritiba,259.2019354838709,0.0,0.0,0.3735483870967742,0.4370967741935484,1,marcelinomorenocoritiba,,,,,,,left_only
Fransergio,32,186.0,15,3934.49,21.88,2.18,0.0,0.0,5.07,5.87,5970,Coritiba,262.2993333333333,0.0,0.0,0.338,0.3913333333333333,1,fransergiocoritiba,,,,,,,left_only
Diogo De Oliveira,26,193.0,15,5194.19,24.84,2.5,0.0,0.0,5.27,5.47,6598,Coritiba,346.2793333333333,0.0,0.0,0.3513333333333333,0.3646666666666666,1,diogodeoliveiracoritiba,,,,,,,left_only
Rodrigo Pinho,32,185.0,10,4057.57,22.11,2.43,0.0,0.0,4.5,4.5,8012,Coritiba,405.757,0.0,0.0,0.45,0.45,1,rodrigopinhocoritiba,,,,,,,left_only
Jese,30,178.0,6,1994.04,21.87,2.66,0.0,0.0,2.0,1.5,12367,Coritiba,332.34,0.0,0.0,0.3333333333333333,0.25,1,jesecoritiba,,,,,,,left_only
Andreas Samaris,34,189.0,4,4882.64,22.7,2.3,0.0,0.0,4.0,5.25,13601,Coritiba,1220.66,0.0,0.0,1.0,1.3125,1,andreassamariscoritiba,,,,,,,left_only
Sebastián Gómez,27,172.0,20,7911.22,23.45,2.34,0.0,0.0,12.55,15.4,15840,Coritiba,395.561,0.0,0.0,0.6275000000000001,0.77,1,sebastiangomezcoritiba,102.0,0.0,0.0,0.0,1.0,,both
Luan Polli,30,188.0,5,3380.17,20.17,1.14,0.0,0.0,3.0,4.4,16178,Coritiba,676.034,0.0,0.0,0.6,0.8800000000000001,0,luanpollicoritiba,,,,,,,left_only
Benjamín Kuscevic,27,186.0,23,8501.14,25.09,2.25,0.0,0.0,6.91,8.87,16565,Coritiba,369.6147826086956,0.0,0.0,0.3004347826086956,0.3856521739130434,1,benjaminkusceviccoritiba,252.0,320.0,20.0,160.0,10.0,Adductor injury,both
Lucas Barbosa,22,193.0,5,2571.75,21.32,2.59,0.0,0.0,2.2,2.2,17975,Coritiba,514.35,0.0,0.0,0.44,0.44,1,lucasbarbosacoritiba,,,,,,,left_only
Bruno Viana,28,186.0,10,7998.46,22.4,2.28,0.0,0.0,6.4,9.0,18489,Coritiba,799.846,0.0,0.0,0.64,0.9,1,brunovianacoritiba,10.0,0.0,0.0,0.0,1.0,,both
Jean Pedroso,19,191.0,7,8241.71,24.5,2.52,0.0,0.0,4.14,3.43,18490,Coritiba,1177.3871428571426,0.0,0.0,0.5914285714285714,0.49,1,jeanpedrosocoritiba,,,,,,,left_only
Jhon Chancellor,31,194.0,4,7652.53,22.95,2.28,0.0,0.0,8.0,9.0,18491,Coritiba,1913.1325,0.0,0.0,2.0,2.25,1,jhonchancellorcoritiba,,,,,,,left_only
Thalisson,21,190.0,11,8625.14,23.26,2.18,0.0,0.0,10.82,13.09,18492,Coritiba,784.1036363636363,0.0,0.0,0.9836363636363636,1.19,1,thalissoncoritiba,,,,,,,left_only
Victor Luis,30,177.0,24,6688.66,23.14,2.45,0.0,0.0,6.71,7.92,18493,Coritiba,278.69416666666666,0.0,0.0,0.2795833333333333,0.33,1,victorluiscoritiba,,,,,,,left_only
Jamerson,24,177.0,29,6565.78,24.14,2.57,0.0,0.0,4.9,4.55,18494,Coritiba,226.4062068965517,0.0,0.0,0.1689655172413793,0.1568965517241379,1,jamersoncoritiba,,,,,,,left_only
Natanael,21,172.0,33,7896.0,24.96,2.42,0.0,0.0,10.58,12.67,18495,Coritiba,239.27272727272728,0.0,0.0,0.3206060606060606,0.3839393939393939,1,natanaelcoritiba,,,,,,,left_only
Willian Farias,34,178.0,16,6418.47,25.2,2.41,0.0,0.0,6.88,7.31,18496,Coritiba,401.154375,0.0,0.0,0.43,0.456875,1,willianfariascoritiba,,,,,,,left_only
Liziero,25,177.0,10,6341.3,23.51,2.35,0.0,0.0,6.6,8.5,18497,Coritiba,634.13,0.0,0.0,0.6599999999999999,0.85,1,lizierocoritiba,,,,,,,left_only
Andrey,25,175.0,26,4803.22,24.8,2.32,0.0,0.0,4.62,6.42,18498,Coritiba,184.7392307692308,0.0,0.0,0.1776923076923077,0.2469230769230769,1,andreycoritiba,282.0,0.0,0.0,0.0,1.0,,both
Bruno Gomes,22,175.0,29,8515.57,25.44,2.32,0.0,0.0,10.41,14.97,18499,Coritiba,293.6403448275862,0.0,0.0,0.3589655172413793,0.5162068965517241,1,brunogomescoritiba,,,,,,,left_only
Boschilia,27,173.0,11,3608.7,24.46,2.3,0.0,0.0,5.82,6.36,18501,Coritiba,328.0636363636364,0.0,0.0,0.5290909090909092,0.5781818181818182,1,boschiliacoritiba,,,,,,,left_only
Alef Manga,28,190.0,10,8311.84,23.09,2.46,0.0,0.0,4.7,10.4,18502,Coritiba,831.184,0.0,0.0,0.47,1.04,1,alefmangacoritiba,,,,,,,left_only
William Pottker,29,182.0,4,3281.3,23.02,2.37,0.0,0.0,5.0,2.75,18504,Coritiba,820.325,0.0,0.0,1.25,0.6875,1,williampottkercoritiba,,,,,,,left_only
Kaio César,19,168.0,24,3951.08,23.16,2.53,0.0,0.0,4.42,5.33,18505,Coritiba,164.62833333333333,0.0,0.0,0.1841666666666666,0.2220833333333333,1,kaiocesarcoritiba,45.0,0.0,0.0,0.0,1.0,,both
Zé Roberto,29,184.0,10,5749.91,31.76,2.39,0.0,0.0,5.2,7.9,18507,Coritiba,574.991,0.0,0.0,0.52,0.79,1,zerobertocoritiba,,,,,,,left_only
Reynaldo,26,186.0,6,4489.57,23.14,2.24,0.0,0.0,4.83,7.33,18513,Coritiba,748.2616666666667,0.0,0.0,0.805,1.221666666666667,1,reynaldocoritiba,,,,,,,left_only
Robson,32,175.0,32,7803.23,28.04,2.43,0.0,0.0,11.56,11.91,18566,Coritiba,243.8509375,0.0,0.0,0.36125,0.3721875,1,robsoncoritiba,,,,,,,left_only
Gabriel,30,194.0,31,4687.7,21.39,1.46,0.0,0.0,3.03,3.23,18574,Coritiba,151.21612903225807,0.0,0.0,0.0977419354838709,0.1041935483870967,0,gabrielcoritiba,,,,,,,left_only
Henrique,36,185.0,24,8275.18,24.33,2.28,0.0,0.0,5.79,7.04,18575,Coritiba,344.7991666666667,0.0,0.0,0.24125,0.2933333333333333,1,henriquecoritiba,,,,,,,left_only
Gabriel Silva,21,178.0,4,3209.29,23.65,2.27,0.0,0.0,5.5,9.0,18581,Coritiba,802.3225,0.0,0.0,1.375,2.25,1,gabrielsilvacoritiba,,,,,,,left_only
Vilar,23,190.0,1,8569.32,22.94,2.38,0.0,0.0,2.0,4.0,18696,Coritiba,8569.32,0.0,0.0,2.0,4.0,2,vilarcoritiba,,,,,,,left_only
Matheus Bianqui,25,187.0,28,5712.65,26.26,2.48,0.0,0.0,7.61,9.0,18720,Coritiba,204.02321428571423,0.0,0.0,0.2717857142857143,0.3214285714285714,1,matheusbianquicoritiba,,,,,,,left_only
Marcos Vinícius,26,176.0,5,4008.59,22.18,2.38,0.0,0.0,3.4,4.8,18721,Coritiba,801.7180000000001,0.0,0.0,0.6799999999999999,0.96,1,marcosviniciuscoritiba,,,,,,,left_only
Thiago Dombroski,21,190.0,7,6835.42,25.23,2.25,0.0,0.0,6.86,9.43,18814,Coritiba,976.4885714285714,0.0,0.0,0.98,1.3471428571428572,1,thiagodombroskicoritiba,,,,,,,left_only
Wesley Pombo,20,178.0,1,5336.85,23.13,2.39,0.0,0.0,5.0,12.0,18815,Coritiba,5336.85,0.0,0.0,5.0,12.0,2,wesleypombocoritiba,,,,,,,left_only
Diogo Batista,19,173.0,11,5095.36,22.3,2.46,0.0,0.0,6.82,7.0,18833,Coritiba,463.21454545454543,0.0,0.0,0.62,0.6363636363636364,1,diogobatistacoritiba,,,,,,,left_only
Ruan Assis,19,180.4719562243502,4,1283.66,19.79,2.36,0.0,0.0,1.75,1.25,18951,Coritiba,320.915,0.0,0.0,0.4375,0.3125,1,ruanassiscoritiba,,,,,,,left_only
Pedro Luccas,19,191.0,3,4932.94,20.53,1.55,0.0,0.0,1.0,1.67,19567,Coritiba,1644.3133333333333,0.0,0.0,0.3333333333333333,0.5566666666666666,0,pedroluccascoritiba,,,,,,,left_only
Lucas Ronier,19,163.0,2,3255.63,23.4,2.35,0.0,0.0,4.5,6.0,19568,Coritiba,1627.815,0.0,0.0,2.25,3.0,1,lucasroniercoritiba,,,,,,,left_only
Edu,30,180.0,10,3488.31,21.68,2.59,0.0,0.0,4.2,4.6,19608,Coritiba,348.831,0.0,0.0,0.42,0.4599999999999999,1,educoritiba,,,,,,,left_only
Maurício Garcez,26,183.0,14,4685.97,22.7,2.65,0.0,0.0,4.64,5.86,20686,Coritiba,334.71214285714285,0.0,0.0,0.3314285714285714,0.4185714285714286,1,mauriciogarcezcoritiba,,,,,,,left_only
Hayner,28,178.0,8,4184.33,23.41,2.45,0.0,0.0,7.25,7.12,23130,Coritiba,523.04125,0.0,0.0,0.90625,0.89,1,haynercoritiba,,,,,,,left_only
Maurício Antônio,31,183.0,3,6111.29,23.99,2.49,0.0,0.0,4.67,5.33,23352,Coritiba,2037.0966666666664,0.0,0.0,1.5566666666666666,1.7766666666666666,1,mauricioantoniocoritiba,,,,,,,left_only
Éberth,20,195.0,1,2448.22,22.16,2.99,0.0,0.0,1.0,1.0,24914,Coritiba,2448.22,0.0,0.0,1.0,1.0,1,eberthcoritiba,,,,,,,left_only
Lucas Moura,31,172.0,14,6405.1,23.79,2.73,0.0,0.0,2.0,0.79,85,São_Paulo_FC,457.50714285714287,0.0,0.0,0.1428571428571428,0.0564285714285714,1,lucasmourasaopaulofc,359.0,0.0,0.0,0.0,13.0,,both
Jhegson Méndez,26,170.0,7,5501.96,20.75,2.56,0.0,0.0,3.29,3.71,1034,São_Paulo_FC,785.9942857142858,0.0,0.0,0.47,0.53,1,jhegsonmendezsaopaulofc,,,,,,,left_only
James Rodríguez,32,181.0,12,5588.46,22.83,2.86,0.0,0.0,0.83,0.75,1690,São_Paulo_FC,465.705,0.0,0.0,0.0691666666666666,0.0625,1,jamesrodriguezsaopaulofc,297.0,540.0,45.0,180.0,15.0,unknown injury,both
Alan Franco,26,183.0,13,8795.29,28.09,2.55,0.0,0.0,3.62,3.15,2346,São_Paulo_FC,676.5607692307693,0.0,0.0,0.2784615384615385,0.2423076923076923,1,alanfrancosaopaulofc,105.0,48.0,3.0,48.0,3.0,Leg injury,both
Alexandre Pato,33,180.0,9,2279.8,19.86,2.6,0.0,0.0,1.44,0.78,2493,São_Paulo_FC,253.31111111111116,0.0,0.0,0.16,0.0866666666666666,1,alexandrepatosaopaulofc,,,,,,,left_only
Marcos Paulo,22,186.0,15,3736.82,21.74,2.52,0.0,0.0,2.8,2.53,13223,São_Paulo_FC,249.12133333333333,0.0,0.0,0.1866666666666666,0.1686666666666666,1,marcospaulosaopaulofc,,,,,,,left_only
Erison,24,180.0,13,3286.57,21.72,2.73,0.0,0.0,0.23,0.15,13500,São_Paulo_FC,252.81307692307692,0.0,0.0,0.0176923076923076,0.0115384615384615,1,erisonsaopaulofc,,,,,,,left_only
Robert Arboleda,31,189.0,20,8678.67,23.99,2.48,0.0,0.0,3.05,2.95,13936,São_Paulo_FC,433.9335,0.0,0.0,0.1525,0.1475,1,robertarboledasaopaulofc,226.0,240.0,6.0,240.0,6.0,Tendonitis,both
Michel Araújo,26,178.0,32,5948.2,21.44,2.78,0.0,0.0,1.53,2.47,16140,São_Paulo_FC,185.88125,0.0,0.0,0.0478125,0.0771875,1,michelaraujosaopaulofc,,,,,,,left_only
Jandrei,30,186.0,5,4852.07,22.08,1.44,0.0,0.0,2.6,3.0,17873,São_Paulo_FC,970.414,0.0,0.0,0.52,0.6,0,jandreisaopaulofc,100.0,208.0,4.0,208.0,4.0,Hand injury,both
Nahuel Ferraresi,24,190.0,1,799.43,18.09,3.6,0.0,0.0,0.0,0.0,17876,São_Paulo_FC,799.43,0.0,0.0,0.0,0.0,1,nahuelferraresisaopaulofc,247.0,247.0,1.0,247.0,1.0,Torn knee ligaments,both
Lucas Beraldo,19,186.0,24,9342.17,22.45,2.55,0.0,0.0,2.33,2.88,17877,São_Paulo_FC,389.25708333333336,0.0,0.0,0.0970833333333333,0.12,1,lucasberaldosaopaulofc,,,,,,,left_only
Matheus Belém,20,186.0,2,8031.47,21.47,2.22,0.0,0.0,2.0,3.5,17878,São_Paulo_FC,4015.735,0.0,0.0,1.0,1.75,1,matheusbelemsaopaulofc,12.0,0.0,0.0,0.0,2.0,,both
Welington,22,175.0,16,6055.6,22.02,2.81,0.0,0.0,1.75,1.19,17879,São_Paulo_FC,378.475,0.0,0.0,0.109375,0.074375,1,welingtonsaopaulofc,,,,,,,left_only
Patryck,20,181.0,6,6146.74,23.61,2.15,0.0,0.0,4.0,5.33,17880,São_Paulo_FC,1024.4566666666667,0.0,0.0,0.6666666666666666,0.8883333333333333,1,patrycksaopaulofc,151.0,129.0,3.0,129.0,3.0,Injury to the ankle,both
João Moreira,19,176.0,1,6442.4,20.49,1.83,0.0,0.0,0.0,1.0,17882,São_Paulo_FC,6442.4,0.0,0.0,0.0,1.0,0,joaomoreirasaopaulofc,,,,,,,left_only
Pablo Maia,21,178.0,32,8783.56,25.36,2.64,0.0,0.0,3.78,3.69,17884,São_Paulo_FC,274.48625,0.0,0.0,0.118125,0.1153125,1,pablomaiasaopaulofc,326.0,0.0,0.0,0.0,2.0,,both
