awayTeam,awayTeamKit,competition,date,endPeriod1,endPeriod2,homeTeam,homeTeamKit,homeTeamStartLeft,id,period1,period2,season,stadium,startPeriod1,startPeriod2,videos,week
"{'id': '436', 'name': 'Fluminense FC', 'shortName': 'FMN'}","{'name': 'Away', 'primaryColor': '#ffffff', 'primaryTextColor': '#870a28', 'secondaryColor': '#870a28', 'secondaryTextColor': '#ffffff'}","{'id': '42', 'name': 'Brasileiro Série A'}",2023-06-11T21:30:00,3030.898,6171.538,"{'id': '438', 'name': 'Goiás', 'shortName': 'GOI'}","{'name': 'Home', 'primaryColor': '#005e4f', 'primaryTextColor': '#ffffff', 'secondaryColor': '#ffffff', 'secondaryTextColor': '#005e4f'}",False,12594,48.81993333333333,51.11611666666666,2023,"{'id': '375', 'name': 'Estádio de Hailé Pinheiro', 'pitchLength': 105.0, 'pitchWidth': 68.0}",101.702,3104.571,"{'fps': 29.97, 'id': '10580', 'videoUrl': 'epitome-staging.pff.com/en/film_room/ee3f4563-1362-4882-925c-3df593d8cc55'}",10
"{'id': '516', 'name': 'Vasco da Gama', 'shortName': 'VDG'}","{'name': 'Home', 'primaryColor': '#000000', 'primaryTextColor': '#ffffff', 'secondaryColor': '#ffffff', 'secondaryTextColor': '#000000'}","{'id': '42', 'name': 'Brasileiro Série A'}",2023-06-11T19:00:00,3044.311,6277.11,"{'id': '439', 'name': 'Internacional', 'shortName': 'INL'}","{'name': 'Home', 'primaryColor': '#c20c18', 'primaryTextColor': '#f8f0e3', 'secondaryColor': '#f8f0e3', 'secondaryTextColor': '#c20c18'}",False,12595,48.6392,52.88343333333333,2023,"{'id': '360', 'name': 'Estadio Beira-Rio', 'pitchLength': 105.0, 'pitchWidth': 68.0}",125.959,3104.104,"{'fps': 29.97, 'id': '10578', 'videoUrl': 'epitome-staging.pff.com/en/film_room/502d158f-e6d8-4822-993b-66b795adf11e'}",10
"{'id': '428', 'name': 'Atlético Mineiro', 'shortName': 'ATM'}","{'name': 'Away', 'primaryColor': '#ffffff', 'primaryTextColor': '#000000', 'secondaryColor': '#ffffff', 'secondaryTextColor': '#000000'}","{'id': '42', 'name': 'Brasileiro Série A'}",2023-06-22T00:30:00,2980.981,6418.919,"{'id': '436', 'name': 'Fluminense FC', 'shortName': 'FMN'}","{'name': 'Home', 'primaryColor': '#870a28', 'primaryTextColor': '#ffffff', 'secondaryColor': '#00613c', 'secondaryTextColor': '#ffffff'}",False,12596,49.18473333333334,56.944716666666665,2023,"{'id': '364', 'name': 'Maracanã', 'pitchLength': 105.0, 'pitchWidth': 68.0}",29.897,3002.236,"{'fps': 29.97, 'id': '10696', 'videoUrl': 'epitome-staging.pff.com/en/film_room/1c1db67e-c151-456d-941e-585561e5f98b'}",11
"{'id': '430', 'name': 'Botafogo', 'shortName': 'BOT'}","{'name': 'Away', 'primaryColor': '#ffffff', 'primaryTextColor': '#000000', 'secondaryColor': '#ffffff', 'secondaryTextColor': '#000000'}","{'id': '42', 'name': 'Brasileiro Série A'}",2023-06-22T23:00:00,2987.321,6131.231,"{'id': '434', 'name': 'Cuiabá', 'shortName': 'CUI'}","{'name': 'Home', 'primaryColor': '#ffff00', 'primaryTextColor': '#339900', 'secondaryColor': '#339900', 'secondaryTextColor': '#ffff00'}",False,12597,48.13925,51.60883333333333,2023,"{'id': '351', 'name': 'Arena Pantanal', 'pitchLength': 105.0, 'pitchWidth': 68.0}",98.966,3034.701,"{'fps': 29.97, 'id': '10699', 'videoUrl': 'epitome-staging.pff.com/en/film_room/1ecdc177-4999-47c8-bff4-4eb08c93fab7'}",11
"{'id': '437', 'name': 'Fortaleza', 'shortName': 'FRT'}","{'name': 'Away', 'primaryColor': '#ffffff', 'primaryTextColor': '#e31d1a', 'secondaryColor': '#ffffff', 'secondaryTextColor': '#0d5aa5'}","{'id': '42', 'name': 'Brasileiro Série A'}",2023-06-21T22:00:00,2913.18,5994.895,"{'id': '514', 'name': 'Cruzeiro', 'shortName': 'CRZ'}","{'name': 'Away', 'primaryColor': '#0000CD', 'primaryTextColor': '#ffffff', 'secondaryColor': '#ffffff', 'secondaryTextColor': '#0000CD'}",False,12598,47.0604,50.98265000000001,2023,"{'id': '349', 'name': 'Mineirao', 'pitchLength': 105.0, 'pitchWidth': 68.0}",89.556,2935.936,"{'fps': 29.97, 'id': '10692', 'videoUrl': 'epitome-staging.pff.com/en/film_room/2c0bbb72-7567-4f95-8fe0-affff70e4747'}",11
"{'id': '441', 'name': 'Palmeiras', 'shortName': 'PAL'}","{'name': 'Away', 'primaryColor': '#ffffff', 'primaryTextColor': '#006437', 'secondaryColor': '#006437', 'secondaryTextColor': '#ffffff'}","{'id': '42', 'name': 'Brasileiro Série A'}",2023-06-22T00:30:00,3068.802,6262.362,"{'id': '517', 'name': 'Bahia', 'shortName': 'BAH'}","{'name': 'Away', 'primaryColor': '#4169E1', 'primaryTextColor': '#ffffff', 'secondaryColor': '#ff0000', 'secondaryTextColor': '#4169E1'}",False,12599,49.7909,52.38515,2023,"{'id': '366', 'name': 'Itaipava Arena Fonte Nova', 'pitchLength': 105.0, 'pitchWidth': 68.0}",81.348,3119.253,"{'fps': 29.97, 'id': '10694', 'videoUrl': 'epitome-staging.pff.com/en/film_room/50de75d0-7ddf-41cf-8279-944bc028235d'}",11
"{'id': '425', 'name': 'América Mineiro', 'shortName': 'AMM'}","{'name': 'Away', 'primaryColor': '#ffffff', 'primaryTextColor': '#008000', 'secondaryColor': '#ffffff', 'secondaryTextColor': '#00f000'}","{'id': '42', 'name': 'Brasileiro Série A'}",2023-06-22T22:00:00,3198.665,6186.086,"{'id': '515', 'name': 'Grêmio', 'shortName': 'GRM'}","{'name': 'Home', 'primaryColor': '#1E90FF', 'primaryTextColor': '#ffffff', 'secondaryColor': '#ffffff', 'secondaryTextColor': '#000000'}",True,12600,52.265033333333335,48.85996666666667,2023,"{'id': '359', 'name': 'Arena do Grêmio', 'pitchLength': 105.0, 'pitchWidth': 68.0}",62.763,3254.488,"{'fps': 29.97, 'id': '10697', 'videoUrl': 'epitome-staging.pff.com/en/film_room/d5da02ce-32e3-406f-beed-14ff5159ca7d'}",11
"{'id': '426', 'name': 'Athletico Paranaense', 'shortName': 'APR'}","{'name': 'Home', 'primaryColor': '#b0000b', 'primaryTextColor': '#000000', 'secondaryColor': '#000000', 'secondaryTextColor': '#b0000b'}","{'id': '42', 'name': 'Brasileiro Série A'}",2023-06-21T22:00:00,3017.951,6168.468,"{'id': '444', 'name': 'São Paulo FC', 'shortName': 'SAO'}","{'name': 'Home', 'primaryColor': '#ffffff', 'primaryTextColor': '#ff0000', 'secondaryColor': '#ffffff', 'secondaryTextColor': '#000000'}",False,12601,48.846066666666665,52.12823333333333,2023,"{'id': '370', 'name': 'Estadio do Morumbi', 'pitchLength': 105.0, 'pitchWidth': 68.0}",87.187,3040.774,"{'fps': 29.97, 'id': '10693', 'videoUrl': 'epitome-staging.pff.com/en/film_room/343063bc-0b9b-46e9-8905-93330f81a57f'}",11
"{'id': '438', 'name': 'Goiás', 'shortName': 'GOI'}","{'name': 'Away', 'primaryColor': '#ffffff', 'primaryTextColor': '#005e4f', 'secondaryColor': '#005e4f', 'secondaryTextColor': '#ffffff'}","{'id': '42', 'name': 'Brasileiro Série A'}",2023-06-22T23:00:00,3144.144,6253.754,"{'id': '516', 'name': 'Vasco da Gama', 'shortName': 'VDG'}","{'name': 'Home', 'primaryColor': '#000000', 'primaryTextColor': '#ffffff', 'secondaryColor': '#ffffff', 'secondaryTextColor': '#000000'}",True,12602,50.990433333333335,51.26071666666667,2023,"{'id': '365', 'name': 'Estádio São Januário', 'pitchLength': 105.0, 'pitchWidth': 68.0}",84.718,3178.111,"{'fps': 29.97, 'id': '10700', 'videoUrl': 'epitome-staging.pff.com/en/film_room/fcf62740-ff21-4c79-bf93-eec8fb56b30a'}",11
"{'id': '439', 'name': 'Internacional', 'shortName': 'INL'}","{'name': 'Home', 'primaryColor': '#c20c18', 'primaryTextColor': '#f8f0e3', 'secondaryColor': '#f8f0e3', 'secondaryTextColor': '#c20c18'}","{'id': '42', 'name': 'Brasileiro Série A'}",2023-06-22T23:00:00,3247.147,6333.5,"{'id': '433', 'name': 'Coritiba', 'shortName': 'CTB'}","{'name': 'Away', 'primaryColor': '#04690f', 'primaryTextColor': '#ffffff', 'secondaryColor': '#ffffff', 'secondaryTextColor': '#000000'}",True,12603,52.94238333333333,50.9971,2023,"{'id': '353', 'name': 'Estadio Couto Pereira', 'pitchLength': 109.0, 'pitchWidth': 72.0}",70.604,3273.674,"{'fps': 29.97, 'id': '10698', 'videoUrl': 'epitome-staging.pff.com/en/film_room/f8398f13-351f-44a3-bd81-12e31e5887c4'}",11
