game_id,player,positionGroupType,shirtNumber,team
12870,"{'id': '854', 'nickname': 'Cristian Pavon'}",RM,9,"{'id': '428', 'name': 'Atlético Mineiro'}"
12870,"{'id': '15817', 'nickname': 'Edenilson'}",CM,8,"{'id': '428', 'name': 'Atlético Mineiro'}"
12870,"{'id': '4270', 'nickname': 'Otavio'}",CM,5,"{'id': '428', 'name': 'Atlético Mineiro'}"
12870,"{'id': '16730', 'nickname': 'Igor Gomes'}",LM,17,"{'id': '428', 'name': 'Atlético Mineiro'}"
12870,"{'id': '15816', 'nickname': 'Hulk'}",CF,7,"{'id': '428', 'name': 'Atlético Mineiro'}"
12870,"{'id': '4596', 'nickname': 'Paulinho'}",CF,10,"{'id': '428', 'name': 'Atlético Mineiro'}"
12870,"{'id': '15815', 'nickname': 'Rubens'}",AM,44,"{'id': '428', 'name': 'Atlético Mineiro'}"
12870,"{'id': '9176', 'nickname': 'Pedrinho'}",RW,38,"{'id': '428', 'name': 'Atlético Mineiro'}"
12870,"{'id': '15802', 'nickname': 'Alan Kardec'}",CF,14,"{'id': '428', 'name': 'Atlético Mineiro'}"
12870,"{'id': '19461', 'nickname': 'Alisson'}",F,45,"{'id': '428', 'name': 'Atlético Mineiro'}"
12870,"{'id': '7571', 'nickname': 'Alan Franco'}",CM,23,"{'id': '428', 'name': 'Atlético Mineiro'}"
12870,"{'id': '15799', 'nickname': 'Gabriel Delfim'}",GK,1,"{'id': '428', 'name': 'Atlético Mineiro'}"
12870,"{'id': '19909', 'nickname': 'Rômulo'}",RCB,47,"{'id': '428', 'name': 'Atlético Mineiro'}"
12870,"{'id': '18779', 'nickname': 'Paulo Vitor'}",RCB,27,"{'id': '428', 'name': 'Atlético Mineiro'}"
12870,"{'id': '15813', 'nickname': 'Réver'}",RCB,4,"{'id': '428', 'name': 'Atlético Mineiro'}"
12870,"{'id': '15807', 'nickname': 'Hyoran'}",AM,20,"{'id': '428', 'name': 'Atlético Mineiro'}"
12870,"{'id': '16740', 'nickname': 'Patrick'}",AM,49,"{'id': '428', 'name': 'Atlético Mineiro'}"
12870,"{'id': '15800', 'nickname': 'Eduardo Vargas'}",CF,11,"{'id': '428', 'name': 'Atlético Mineiro'}"
12871,"{'id': '18540', 'nickname': 'Matheus Alexandre'}",RWB,2,"{'id': '434', 'name': 'Cuiabá'}"
